"","l","j","y","s","a","ns","nt","sl"
"1",85,93,1999,0,0,0,2,NA
"2",85,105,1999,0,0,0,1,NA
"3",85,117,1999,0,0,0,2,NA
"4",85,117,1999,0,1,0,2,NA
"5",85,121,1999,0,0,0,1,NA
"6",85,124,1999,0,0,0,1,NA
"7",85,128,1999,0,0,0,1,NA
"8",85,129,1999,0,1,0,2,NA
"9",85,137,1999,0,1,0,2,NA
"10",86,89,1999,0,0,0,2,NA
"11",86,90,1999,0,0,0,3,NA
"12",86,91,1999,0,0,0,1,NA
"13",86,95,1999,0,0,0,1,NA
"14",86,96,1999,0,0,0,1,NA
"15",86,110,1999,0,0,0,1,NA
"16",86,111,1999,0,0,0,2,NA
"17",86,111,1999,0,1,0,2,NA
"18",86,113,1999,0,0,0,1,NA
"19",86,117,1999,0,0,0,2,NA
"20",86,118,1999,0,0,0,3,NA
"21",86,118,1999,0,1,0,2,NA
"22",86,122,1999,0,0,0,2,NA
"23",86,124,1999,0,0,0,1,NA
"24",86,124,1999,0,1,0,2,NA
"25",86,127,1999,0,0,0,1,NA
"26",86,127,1999,0,1,0,2,NA
"27",86,128,1999,0,0,0,1,NA
"28",86,159,1999,0,0,0,1,NA
"29",87,88,1999,0,1,0,1,NA
"30",87,91,1999,0,0,0,1,NA
"31",87,97,1999,0,0,0,2,NA
"32",87,102,1999,0,0,0,2,NA
"33",87,107,1999,0,0,0,1,NA
"34",87,110,1999,0,0,0,4,NA
"35",87,111,1999,0,0,0,2,NA
"36",87,113,1999,0,0,0,2,NA
"37",87,113,1999,0,1,0,2,NA
"38",87,115,1999,0,0,0,1,NA
"39",87,117,1999,0,0,0,2,NA
"40",87,118,1999,0,0,0,3,NA
"41",87,118,1999,0,1,0,2,NA
"42",87,119,1999,0,0,0,1,NA
"43",87,120,1999,0,0,0,3,NA
"44",87,121,1999,0,0,0,1,NA
"45",87,122,1999,0,0,0,1,NA
"46",87,124,1999,0,0,0,1,NA
"47",87,124,1999,0,1,0,2,NA
"48",87,127,1999,0,0,0,1,NA
"49",87,150,1999,0,1,0,1,NA
"50",87,152,1999,0,1,0,2,NA
"51",87,153,1999,0,1,0,2,NA
